PublishedRecordId,Data de Criação,Data Alvo,Data Conclusão,Status,Prioridade,Título,Descrição,Responsável,Função,Origem,Local,Categoria,Tipo de Registro,Dias em Aberto,Atrasada?,Área LI,Macrotema LI,Tema específico,Voz do problema,Referência técnica,Exposição / perda potencial,Evidência textual,Confiança		
16265,2023-11-08,2023-11-16,,Awaiting Acceptance,Medium (Ideally within 14 days),Revisar procedimento para fechamento de porta e desengate de dock lock,Revisar procedimento para fechamento de porta e desengate de dock lock,Jardel Bohme,PS Packaging Materials Factory,,,Factory,Events,985,SIM,Warehouse / Doca,Procedimentos e Capacitação,Procedimento / padrão operacional,"Procedimento inexistente, incompleto ou desatualizado",Sistema de Gestão,Execução inconsistente ou exposição não controlada,procedimento,Alta		
16264,2023-11-08,2023-11-16,,Awaiting Acceptance,Medium (Ideally within 14 days),Padronizar inspeção diária com metodos que avaliem o funcionamento e ajuste padrão dos sensores - Ação pro time da Leadec,Padronizar inspeção diária com metodos que avaliem o funcionamento e ajuste padrão dos sensores - Ação pro time da Leadec,Jardel Bohme,PS Packaging Materials Factory,,,Factory,Events,985,SIM,Produção / Fábrica,Segurança de Máquinas,Sensor / intertravamento,Falha ou inadequação de sensor/intertravamento,NR 12,Acesso à zona de perigo com máquina energizada,sensores,Alta		
"16262,2023-11-08,2023-11-16,,Awaiting Acceptance,Medium (Ideally within 14 days),Comunicação geral com os operadores sobre utilizar a iluminação com  indicativo e caso duvida confirmar com abertura da porta - Essa ação é para o operador Wellighton Salvador realizar,""Comunicação geral com os operadores sobre utilizar a iluminação com  indicativo e caso duvida confirmar com abertura da porta	"		
		
Essa ação é para o operador Wellighton Salvador realizar",Jardel Bohme,PS Packaging Materials Factory,,,Factory,Events,985,SIM,Produção / Fábrica,Procedimentos e Capacitação,Treinamento / comunicação,"Necessidade de treinamento, orientação ou comunicação",Sistema de Gestão,Falha de conhecimento ou comportamento inseguro,comunicacao,Alta		
17763,2023-12-06,2023-12-07,,Awaiting Acceptance,Medium (Ideally within 14 days),Tubo de amostra em local impróprio,"Tubo que foi rejeitado pela produção devido sua não conformidade, encontra-se em local inapropriado.",Emerson Furlan,PS Packaging Materials Factory,Safety Observation,,Factory,,957,SIM,Produção / Fábrica,5S e Organização,Armazenamento,Material armazenado fora do padrão,5S / Armazenamento,"Queda de materiais, obstrução ou danos",local improprio,Alta		
18365,2024-01-19,2024-03-19,,Awaiting Acceptance,Low (Ideally within 30 days),Troca da lampada queimada do girofex na doca 1,"This request is for  at Tetra Pak Monte Mor , Brazil location TETRA PAK MONTE MOR Property		
Request Number: SR-255401-F0K2Q7 		
Received: 1/19/2024 3:58 PM 		
Reported By: Devlim Coradelli		
Affected Person: Devlim Coradelli		
Title: Mobile - Lampada queimada girofex 		
Description:		
Traca da lampada queimada do girofex doca 1 		
Location: TETRA PAK MONTE MOR Property - PRÉDIO CD TETRA PAK MONTE MOR -  -  -",ClaudioFernandes DeCampos,PS Packaging Materials Factory,,,Warehouse,Audit,913,SIM,Warehouse / Doca,Prevenção de Incêndio,Iluminação / sinalização de emergência,Iluminação ou sinalização de emergência inadequada,NR 23,Evacuação ou localização de recursos prejudicada,girofex,Alta		
24823,2024-10-29,2024-11-20,,Awaiting Acceptance,Medium (Ideally within 14 days),Emitir WCM e envolver lideranças,Comunicado para células sobre interações com operdores e atividades que demandam concentração (WCM informa),Jaime Souza,PS Packaging Materials Factory,,,Factory,Events,629,SIM,Produção / Fábrica,Procedimentos e Capacitação,Comunicação / reforço comportamental,Reforço de comunicação ou prática segura,Sistema de Gestão,Reincidência por falha de comunicação,"comunicado, envolver liderancas",Média		
28347,2025-01-28,2025-02-24,,Awaiting Acceptance,Medium (Ideally within 14 days),Gabarito para altura minima,Colocar gabarito para posicionar corretamenta a altura do sensor do carro transportador,Mario Rossi,PS Packaging Materials Factory,,,Factory,Events,538,SIM,Produção / Fábrica,Segurança de Máquinas,Sensor / intertravamento,Falha ou inadequação de sensor/intertravamento,NR 12,Acesso à zona de perigo com máquina energizada,sensor do carro,Alta		
28346,2025-01-28,2025-02-24,,Awaiting Acceptance,Medium (Ideally within 14 days),Pinos Guias para sensor,Colocar Pinos guias no suporte do sensor dificulatando montegem errada,Mario Rossi,PS Packaging Materials Factory,,,Factory,Events,538,SIM,Produção / Fábrica,Segurança de Máquinas,Fixação / trava de segurança,"Trava, fixação ou retenção de componente inadequada",NR 12,Liberação inesperada ou projeção de componente,pino,Média		
34627,2025-08-30,2025-09-01,,Awaiting Acceptance,Medium (Ideally within 14 days),Proteção da calha de fios,Proteção da calha de fios da esteira 35 cyklop está encostada na grade NR12,Edson Oliveira,PS Packaging Materials Factory,,,Factory,Audit,324,SIM,Produção / Fábrica,Segurança de Máquinas,Proteção física / grade NR 12,Proteção ou grade de máquina inadequada,NR 12,Contato com partes móveis / esmagamento,grade nr12,Alta		
34626,2025-08-30,2025-09-01,,Awaiting Acceptance,Medium (Ideally within 14 days),Lixeira sem demarcação,Lixeira ao lado da sala da supervisão esta em local sem identificação / marcação,Edson Oliveira,PS Packaging Materials Factory,,,Factory,Audit,324,SIM,Produção / Fábrica,5S e Organização,Demarcação,Falta ou inadequação de demarcação,5S / Gestão Visual,"Conflito de fluxo, obstrução ou armazenamento incorreto",demarcacao,Alta		
34611,2025-08-29,2025-09-29,,Awaiting Acceptance,High (Ideally within 7 days),Almotolias de produtos quimico sem identificação,Identificar todas as almotolias da Usinagem de Manutenção,Alexandre Brancaglion,PS Packaging Materials Factory,,,Factory,Audit,325,SIM,Manutenção / Usinagem,Produtos Químicos,Identificação / rotulagem,Produto químico sem identificação ou rotulagem,NR 26,"Uso incorreto, exposição ou resposta inadequada à emergência",almotolia,Alta		
